Game ID;Date;Side;Result;Player;Role;Hero;Ban Hero;Common Skill;Team;Opponent;Score;Kill;Death;Assist;Gold;Tyrant;S Tyrant;Tempest;Overlord;S Overlord;Damage Dealt;Damage Taken;Duration;Stage;Group;Region;;;
KWC26_PI_M01_G1;30/07/2026;Blue;Win;Littleboyz;Clashlane;Mi Yue;Haya;Frenzy;Buriram United;Team Flash;1 - 0;1;1;2;7900;1;0;0;1;0;;;11:04;Play-in;Group A;TH;;;
KWC26_PI_M01_G1;30/07/2026;Blue;Win;Valdus;Jungler;Pei;Mai Shiranui;Smite;Buriram United;Team Flash;1 - 0;2;1;4;9000;1;0;0;1;0;;;11:04;Play-in;Group A;TH;;;
KWC26_PI_M01_G1;30/07/2026;Blue;Win;NuNu;Midlane;Lorion;Ukyo Tachibana;Flash;Buriram United;Team Flash;1 - 0;2;1;5;7100;1;0;0;1;0;;;11:04;Play-in;Group A;TH;;;
KWC26_PI_M01_G1;30/07/2026;Blue;Win;Ligky;Farmlane;Chano;Guan Yu;Flash;Buriram United;Team Flash;1 - 0;3;0;4;8300;1;0;0;1;0;;;11:04;Play-in;Group A;TH;;;
KWC26_PI_M01_G1;30/07/2026;Blue;Win;Taoz;Roamer;Lian Po;;Flash;Buriram United;Team Flash;1 - 0;0;0;7;4800;1;0;0;1;0;;;11:04;Play-in;Group A;TH;;;
KWC26_PI_M01_G1;30/07/2026;Red;Lose;Yuh;Clashlane;Charlotte;Florentino;Flash;Team Flash;Buriram United;0 - 1;0;2;1;5900;1;0;0;0;0;;;11:04;Play-in;Group A;VN;;;
KWC26_PI_M01_G1;30/07/2026;Red;Lose;Julius;Jungler;Butterfly;Lapu lapu;Smite;Team Flash;Buriram United;0 - 1;1;2;2;7500;1;0;0;0;0;;;11:04;Play-in;Group A;VN;;;
KWC26_PI_M01_G1;30/07/2026;Red;Lose;HieuDuc;Midlane;Xiao Qiao;Dyadia;Flash;Team Flash;Buriram United;0 - 1;0;1;1;6000;1;0;0;0;0;;;11:04;Play-in;Group A;VN;;;
KWC26_PI_M01_G1;30/07/2026;Red;Lose;Ryn;Farmlane;Ao Yin;Biron;Flash;Team Flash;Buriram United;0 - 1;2;1;0;7200;1;0;0;0;0;;;11:04;Play-in;Group A;VN;;;
KWC26_PI_M01_G1;30/07/2026;Red;Lose;Tofu;Roamer;Zhang Fei;;Heal;Team Flash;Buriram United;0 - 1;0;2;3;4600;1;0;0;0;0;;;11:04;Play-in;Group A;VN;;;
KWC26_PI_M01_G2;30/07/2026;Red;Win;Littleboyz;Clashlane;Dharma;Pei;Flash;Buriram United;Team Flash;2 - 0;1;0;4;8600;1;1;0;0;0;;;11:56;Play-in;Group A;TH;;;
KWC26_PI_M01_G2;30/07/2026;Red;Win;Valdus;Jungler;Agudo;Charlotte;Smite;Buriram United;Team Flash;2 - 0;2;0;7;9100;1;1;0;0;0;;;11:56;Play-in;Group A;TH;;;
KWC26_PI_M01_G2;30/07/2026;Red;Win;NuNu;Midlane;Yu Huan;Chano;Flash;Buriram United;Team Flash;2 - 0;2;1;6;7400;1;1;0;0;0;;;11:56;Play-in;Group A;TH;;;
KWC26_PI_M01_G2;30/07/2026;Red;Win;Ligky;Farmlane;Flowborn(FL);Guan Yu;Flash;Buriram United;Team Flash;2 - 0;3;0;6;9800;1;1;0;0;0;;;11:56;Play-in;Group A;TH;;;
KWC26_PI_M01_G2;30/07/2026;Red;Win;Taoz;Roamer;Zhang Fei;;Heal;Buriram United;Team Flash;2 - 0;1;0;8;5900;1;1;0;0;0;;;11:56;Play-in;Group A;TH;;;
KWC26_PI_M01_G2;30/07/2026;Blue;Lose;Yuh;Clashlane;Biron;Haya;Flash;Team Flash;Buriram United;0 - 2;0;2;1;6400;1;0;0;1;0;;;11:56;Play-in;Group A;VN;;;
KWC26_PI_M01_G2;30/07/2026;Blue;Lose;Julius;Jungler;Augran;Ao Yin;Smite;Team Flash;Buriram United;0 - 2;1;3;0;8000;1;0;0;1;0;;;11:56;Play-in;Group A;VN;;;
KWC26_PI_M01_G2;30/07/2026;Blue;Lose;HieuDuc;Midlane;Mai Shiranui;Charlotte;Flash;Team Flash;Buriram United;0 - 2;0;1;1;7200;1;0;0;1;0;;;11:56;Play-in;Group A;VN;;;
KWC26_PI_M01_G2;30/07/2026;Blue;Lose;Ryn;Farmlane;Chicha;Xiao Qiao;Frenzy;Team Flash;Buriram United;0 - 2;0;1;1;7800;1;0;0;1;0;;;11:56;Play-in;Group A;VN;;;
KWC26_PI_M01_G2;30/07/2026;Blue;Lose;Tofu;Roamer;Mozi;;Flash;Team Flash;Buriram United;0 - 2;0;2;1;4600;1;0;0;1;0;;;11:56;Play-in;Group A;VN;;;
KWC26_PI_M02_G1;30/07/2026;Red;Lose;Meruem;Clashlane;Biron;Mai Shiranui;Flash;S8UL Esports;Influence Rage;0 - 1;0;0;0;4500;0;0;0;0;0;;;08:09;Play-in;Group A;IND;;;
KWC26_PI_M02_G1;30/07/2026;Red;Lose;Kong;Jungler;Agudo;Ao Yin;Smite;S8UL Esports;Influence Rage;0 - 1;0;4;0;4200;0;0;0;0;0;;;08:09;Play-in;Group A;IND;;;
KWC26_PI_M02_G1;30/07/2026;Red;Lose;Kyurem;Midlane;Lady Zhen;Di Renjie;Flash;S8UL Esports;Influence Rage;0 - 1;0;2;0;3500;0;0;0;0;0;;;08:09;Play-in;Group A;IND;;;
KWC26_PI_M02_G1;30/07/2026;Red;Lose;Kaeltzy;Farmlane;Flowborn(FL);Arli;Flash;S8UL Esports;Influence Rage;0 - 1;0;2;0;4000;0;0;0;0;0;;;08:09;Play-in;Group A;IND;;;
KWC26_PI_M02_G1;30/07/2026;Red;Lose;Doofy;Roamer;Lapu lapu;;Flash;S8UL Esports;Influence Rage;0 - 1;1;2;0;3200;0;0;0;0;0;;;08:09;Play-in;Group A;IND;;;
KWC26_PI_M02_G1;30/07/2026;Blue;Win;Tempest;Clashlane;Guan Yu;Pei;Sprint;Influence Rage;S8UL Esports;1 - 0;2;0;5;6000;1;0;0;0;0;;;08:09;Play-in;Group A;BR;;;
KWC26_PI_M02_G1;30/07/2026;Blue;Win;Dani;Jungler;Jing;Chicha;Smite;Influence Rage;S8UL Esports;1 - 0;0;0;8;7100;1;0;0;0;0;;;08:09;Play-in;Group A;BR;;;
KWC26_PI_M02_G1;30/07/2026;Blue;Win;Fury;Midlane;Lorion;Annette;Flash;Influence Rage;S8UL Esports;1 - 0;1;0;7;5000;1;0;0;0;0;;;08:09;Play-in;Group A;BR;;;
KWC26_PI_M02_G1;30/07/2026;Blue;Win;Lefy;Farmlane;Chano;Haya;Flash;Influence Rage;S8UL Esports;1 - 0;5;1;1;6900;1;0;0;0;0;;;08:09;Play-in;Group A;BR;;;
KWC26_PI_M02_G1;30/07/2026;Blue;Win;Maynah;Roamer;Zhang Fei;;Stun;Influence Rage;S8UL Esports;1 - 0;2;0;8;4600;1;0;0;0;0;;;08:09;Play-in;Group A;BR;;;
KWC26_PI_M02_G2;30/07/2026;Blue;Lose;Meruem;Clashlane;Xiang Yu;Mai Shiranui;Flash;S8UL Esports;Influence Rage;0 - 2;0;3;2;5600;1;0;0;0;0;;;12:16;Play-in;Group A;IND;;;
KWC26_PI_M02_G2;30/07/2026;Blue;Lose;Kong;Jungler;Chicha;Haya;Smite;S8UL Esports;Influence Rage;0 - 2;2;3;2;9500;1;0;0;0;0;;;12:16;Play-in;Group A;IND;;;
KWC26_PI_M02_G2;30/07/2026;Blue;Lose;Kyurem;Midlane;Ziya;Kaizer;Flash;S8UL Esports;Influence Rage;0 - 2;1;3;2;6300;1;0;0;0;0;;;12:16;Play-in;Group A;IND;;;
